id,date,city,temp,humidity
1,2026-03-01,New York,6.5,58
2,2026-03-01,Tokyo,12.3,64
3,2026-03-01,Paris,9.1,70
4,2026-03-01,Sydney,24.8,55
5,2026-03-01,Dubai,31.2,40
6,2026-03-01,Toronto,-2.4,75
7,2026-03-01,São Paulo,27.5,68
8,2026-03-01,Cape Town,22.1,62
9,2026-03-02,New York,7.1,60
10,2026-03-02,Tokyo,13.0,66
11,2026-03-02,Paris,8.7,72
12,2026-03-02,Sydney,25.2,53
13,2026-03-02,Dubai,32.0,38
14,2026-03-02,Toronto,-1.8,73
15,2026-03-02,São Paulo,28.0,70
16,2026-03-02,Cape Town,21.9,64
17,2026-03-03,New York,5.9,57
18,2026-03-03,Tokyo,11.8,63
19,2026-03-03,Paris,9.4,69
20,2026-03-03,Sydney,24.6,56
21,2026-03-03,Dubai,30.8,42
22,2026-03-03,Toronto,-3.1,78
23,2026-03-03,São Paulo,26.9,67
24,2026-03-03,Cape Town,22.5,60
25,2026-03-04,New York,6.8,59
26,2026-03-04,Tokyo,12.5,65
27,2026-03-04,Paris,8.9,71
28,2026-03-04,Sydney,25.4,54
29,2026-03-04,Dubai,31.5,39
30,2026-03-04,Toronto,-2.0,74
31,2026-03-04,São Paulo,27.8,69
32,2026-03-04,Cape Town,22.0,63
33,2026-03-05,New York,7.0,61
34,2026-03-05,Tokyo,13.2,67
35,2026-03-05,Paris,9.0,70
36,2026-03-05,Sydney,24.9,55
37,2026-03-05,Dubai,32.4,37
38,2026-03-05,Toronto,-1.5,72
39,2026-03-05,São Paulo,28.3,71
40,2026-03-05,Cape Town,21.7,65
41,2026-03-06,New York,6.1,58
42,2026-03-06,Tokyo,12.7,64
43,2026-03-06,Paris,9.3,68
44,2026-03-06,Sydney,24.4,57
45,2026-03-06,Dubai,31.0,41
46,2026-03-06,Toronto,-2.8,76
47,2026-03-06,São Paulo,27.1,66
48,2026-03-06,Cape Town,22.4,61
49,2026-03-07,New York,6.9,60
50,2026-03-07,Tokyo,13.1,66
51,2026-03-07,Paris,8.8,72
52,2026-03-07,Sydney,25.0,54
53,2026-03-07,Dubai,32.2,38
54,2026-03-07,Toronto,-1.9,74
55,2026-03-07,São Paulo,28.5,72
56,2026-03-07,Cape Town,22.2,63
57,2026-03-08,New York,5.7,59
58,2026-03-08,Tokyo,12.0,65
59,2026-03-08,Paris,9.5,69
60,2026-03-08,Sydney,24.7,56
61,2026-03-08,Dubai,,40
62,2026-03-08,Toronto,-3.4,79
63,2026-03-08,São Paulo,27.6,
64,2026-03-08,Cape Town,21.8,64
65,2026-03-09,New York,6.3,58
66,2026-03-09,Tokyo,12.8,67
67,2026-03-09,Paris,8.6,73
68,2026-03-09,Sydney,25.3,53
69,2026-03-09,Dubai,31.8,39
70,2026-03-09,Toronto,-2.2,75
71,2026-03-09,São Paulo,28.1,70
72,2026-03-09,Cape Town,22.6,60
73,2026-03-10,New York,7.4,62
74,2026-03-10,Tokyo,13.4,68
75,2026-03-10,Paris,9.2,71
76,2026-03-10,Sydney,24.9,55
77,2026-03-10,Dubai,32.6,37
78,2026-03-10,Toronto,-1.6,73
79,2026-03-10,São Paulo,27.9,69
80,2026-03-10,Cape Town,22.3,62


